,station_id,latitude,longitude,name,zone,stepfree,stepfree_interchange,line,line_name
290,708,51.4941,-0.1738,South Kensington,1.0,0,0,10,Piccadilly Line
293,711,51.4154,-0.1919,South Wimbledon,3.5,0,0,9,Northern Line
294,712,51.5917,0.0275,South Woodford,4.0,1,1,2,Central Line
296,706,51.6322,-0.128,Southgate,4.0,0,0,10,Piccadilly Line
297,784,51.501,-0.1052,Southwark,1.0,1,1,7,Jubilee Line
300,696,51.5347,-0.174,St. John's Wood,2.0,0,0,7,Jubilee Line
301,697,51.5146,-0.0973,St. Paul's,1.0,0,0,2,Central Line
303,714,51.6194,-0.3028,Stanmore,5.0,1,1,7,Jubilee Line
306,716,51.4723,-0.123,Stockwell,2.0,0,1,9,Northern Line
307,716,51.4723,-0.123,Stockwell,2.0,0,1,11,Victoria Line
309,719,51.5416,-0.0042,Stratford,3.0,1,1,2,Central Line
310,719,51.5416,-0.0042,Stratford,3.0,1,1,7,Jubilee Line
313,723,51.5432,-0.1738,Swiss Cottage,2.0,0,0,7,Jubilee Line
316,725,51.6717,0.1033,Theydon Bois,6.0,0,0,2,Central Line
317,726,51.4361,-0.1598,Tooting Bec,3.0,0,0,9,Northern Line
318,727,51.4275,-0.168,Tooting Broadway,3.0,0,0,9,Northern Line
319,728,51.5165,-0.131,Tottenham Court Road,1.0,1,1,2,Central Line
320,728,51.5165,-0.131,Tottenham Court Road,1.0,1,1,9,Northern Line
321,729,51.5882,-0.0594,Tottenham Hale,3.0,1,1,11,Victoria Line
322,730,51.6302,-0.1791,Totteridge & Whetstone,4.0,0,0,9,Northern Line
325,733,51.5567,-0.1374,Tufnell Park,2.0,0,0,9,Northern Line
327,735,51.5904,-0.1028,Turnpike Lane,3.0,0,0,10,Piccadilly Line
335,777,51.4861,-0.1253,Vauxhall,1.5,1,1,11,Victoria Line
338,741,51.4965,-0.1447,Victoria,1.0,1,1,11,Victoria Line
339,742,51.583,-0.0195,Walthamstow Central,3.0,0,0,11,Victoria Line
340,743,51.5775,0.0288,Wanstead,4.0,0,0,2,Central Line
341,745,51.5247,-0.1384,Warren Street,1.0,0,0,9,Northern Line
342,745,51.5247,-0.1384,Warren Street,1.0,0,0,11,Victoria Line
345,747,51.5036,-0.1143,Waterloo,1.0,1,1,7,Jubilee Line
346,747,51.5036,-0.1143,Waterloo,1.0,1,1,9,Northern Line
350,752,51.5635,-0.2795,Wembley Park,4.0,1,1,7,Jubilee Line
352,753,51.518,-0.2809,West Acton,3.0,0,0,2,Central Line
354,756,51.6095,-0.1883,West Finchley,4.0,1,1,9,Northern Line
357,757,51.5287,0.0056,West Ham,3.0,1,1,7,Jubilee Line
358,758,51.5469,-0.1906,West Hampstead,2.0,0,0,7,Jubilee Line
366,761,51.501,-0.1254,Westminster,1.0,1,1,7,Jubilee Line
367,764,51.512,-0.2239,White City,2.0,0,0,2,Central Line
370,765,51.5492,-0.2215,Willesden Green,2.5,0,0,7,Jubilee Line
374,770,51.5975,-0.1097,Wood Green,3.0,0,0,10,Piccadilly Line
377,769,51.607,0.0341,Woodford,4.0,1,1,2,Central Line
378,771,51.6179,-0.1856,Woodside Park,4.0,1,1,9,Northern Line
