station_id,latitude,longitude,name,zone,stepfree,stepfree_interchange,line,line_name
564,51.5765,-0.397,Eastcote,5.0,0,0,10,Piccadilly Line
568,51.6137,-0.275,Edgware,5.0,1,1,9,Northern Line
569,51.5199,-0.1679,Edgware Road,1.0,0,0,1,Bakerloo Line
569,51.5199,-0.1679,Edgware Road,1.0,0,0,3,Circle Line
569,51.5199,-0.1679,Edgware Road,1.0,0,0,4,District Line
569,51.5199,-0.1679,Edgware Road,1.0,0,0,6,Hammersmith & City Line
570,51.4943,-0.1001,Elephant & Castle,1.5,0,0,1,Bakerloo Line
570,51.4943,-0.1001,Elephant & Castle,1.5,0,0,9,Northern Line
571,51.5496,0.1977,Elm Park,6.0,1,1,4,District Line
542,51.5074,-0.1223,Embankment,1.0,0,0,1,Bakerloo Line
542,51.5074,-0.1223,Embankment,1.0,0,0,3,Circle Line
542,51.5074,-0.1223,Embankment,1.0,0,0,4,District Line
542,51.5074,-0.1223,Embankment,1.0,0,0,9,Northern Line
572,51.6937,0.1139,Epping,6.0,1,1,2,Central Line
574,51.5282,-0.1337,Euston,1.0,0,0,9,Northern Line
574,51.5282,-0.1337,Euston,1.0,0,0,11,Victoria Line
575,51.526,-0.1359,Euston Square,1.0,0,0,3,Circle Line
575,51.526,-0.1359,Euston Square,1.0,0,0,6,Hammersmith & City Line
575,51.526,-0.1359,Euston Square,1.0,0,0,8,Metropolitan Line
576,51.596,0.0912,Fairlop,5.0,0,0,2,Central Line
577,51.5203,-0.1053,Farringdon,1.0,1,1,3,Circle Line
577,51.5203,-0.1053,Farringdon,1.0,1,1,6,Hammersmith & City Line
577,51.5203,-0.1053,Farringdon,1.0,1,1,8,Metropolitan Line
578,51.6012,-0.1932,Finchley Central,4.0,1,1,9,Northern Line
579,51.5472,-0.1803,Finchley Road,2.0,0,1,7,Jubilee Line
579,51.5472,-0.1803,Finchley Road,2.0,0,1,8,Metropolitan Line
580,51.5642,-0.1065,Finsbury Park,2.0,1,1,10,Piccadilly Line
580,51.5642,-0.1065,Finsbury Park,2.0,1,1,11,Victoria Line
581,51.4804,-0.195,Fulham Broadway,2.0,1,1,4,District Line
582,51.5765,0.0663,Gants Hill,4.0,0,0,2,Central Line
583,51.4945,-0.1829,Gloucester Road,1.0,0,0,3,Circle Line
583,51.4945,-0.1829,Gloucester Road,1.0,0,0,4,District Line
583,51.4945,-0.1829,Gloucester Road,1.0,0,0,10,Piccadilly Line
584,51.5724,-0.1941,Golders Green,3.0,1,1,9,Northern Line
585,51.5018,-0.2267,Goldhawk Road,2.0,0,0,3,Circle Line
585,51.5018,-0.2267,Goldhawk Road,2.0,0,0,6,Hammersmith & City Line
586,51.5205,-0.1347,Goodge Street,1.0,0,0,9,Northern Line
587,51.6132,0.0923,Grange Hill,5.0,0,0,2,Central Line
588,51.5238,-0.1439,Great Portland Street,1.0,0,0,3,Circle Line
588,51.5238,-0.1439,Great Portland Street,1.0,0,0,6,Hammersmith & City Line
588,51.5238,-0.1439,Great Portland Street,1.0,0,0,8,Metropolitan Line
590,51.5067,-0.1428,Green Park,1.0,1,1,7,Jubilee Line
590,51.5067,-0.1428,Green Park,1.0,1,1,10,Piccadilly Line
590,51.5067,-0.1428,Green Park,1.0,1,1,11,Victoria Line
589,51.5423,-0.3456,Greenford,4.0,1,1,2,Central Line
591,51.4915,-0.2754,Gunnersbury,3.0,0,0,4,District Line
592,51.603,0.0933,Hainault,5.0,1,1,2,Central Line
593,51.4936,-0.2251,Hammersmith,2.0,1,1,3,Circle Line
593,51.4936,-0.2251,Hammersmith,2.0,1,1,4,District Line
593,51.4936,-0.2251,Hammersmith,2.0,1,1,6,Hammersmith & City Line
593,51.4936,-0.2251,Hammersmith,2.0,1,1,10,Piccadilly Line
594,51.5568,-0.178,Hampstead,2.5,0,0,9,Northern Line
595,51.5302,-0.2933,Hanger Lane,3.0,0,0,2,Central Line
596,51.5362,-0.2575,Harlesden,3.0,0,0,1,Bakerloo Line
597,51.5925,-0.3351,Harrow & Wealdstone,5.0,1,1,1,Bakerloo Line
598,51.5793,-0.3366,Harrow-on-the-Hill,5.0,0,1,8,Metropolitan Line
779,51.4669,-0.4227,Hatton Cross,5.5,0,0,10,Piccadilly Line
781,51.4598,-0.4476,Heathrow Terminal 4,6.0,1,1,10,Piccadilly Line
783,51.4723,-0.488,Heathrow Terminal 5,6.0,1,1,10,Piccadilly Line
780,51.4713,-0.4524,Heathrow Terminals 123,6.0,1,1,10,Piccadilly Line
601,51.5829,-0.2259,Hendon Central,3.5,1,1,9,Northern Line
602,51.6503,-0.1943,High Barnet,5.0,1,1,9,Northern Line
